label,minor axis length (cm),middle axis length (cm),major axis length (cm),area (cm2),volume (cm3),aspect ratio,volume/surface ratio,sphericity,convexity
2025-046,5.690299906,5.515900068,5.576999485,98.73961138,88.00942709,1.031617657,0.891328474,0.969048485,0.982082053
2025-047,3.645600006,4.196999967,4.226499796,48.74032956,29.79678471,1.159342711,0.611337366,0.953619812,0.9757191
2025-048,4.532400146,4.233499896,4.331800342,57.46243883,38.90491595,1.07060358,0.677049508,0.966280149,0.979853743
2025-049,5.494100042,4.783299938,8.860700577,126.7677849,93.73914524,1.852424204,0.739455575,0.787207486,0.814982999
2025-050,7.952599786,8.400599845,11.41140014,223.5452831,222.7575037,1.434926998,0.996475974,0.794950662,0.765987455
2025-051,8.052500337,10.73289998,8.568400145,225.269,263.9195635,1.332865511,1.171575155,0.883277327,0.869755837
2025-052,8.840199932,11.79910004,7.987199351,261.113972,342.6501696,1.477251227,1.312262867,0.906890072,0.96028874
2025-053,7.177700102,9.136000276,8.957300708,198.8868289,222.229988,1.27283115,1.117369054,0.892099323,0.89565773
2025-054,4.633800127,6.155799888,6.611600146,91.75322216,62.57369079,1.426820313,0.681978129,0.830725065,0.848303961
2025-055,11.42340004,9.171000123,13.67409974,330.8073855,359.6946277,1.491015108,1.08732345,0.739375227,0.703971079
2025-056,4.16420009,4.373899847,5.20260036,63.30349176,43.29034867,1.249363683,0.683854041,0.941854566,0.958242391
2025-057,4.528599977,4.574600048,5.326399952,69.35266067,51.21298473,1.176169231,0.73844297,0.961629377,0.983005374
2025-058,4.038199969,3.914899938,4.939500242,57.83581897,38.14705838,1.261718134,0.659574967,0.947533567,0.974668348
2025-059,7.303700224,5.446599796,6.962200254,124.3309218,117.3177743,1.340965097,0.943592894,0.932139362,0.962434439
2025-060,13.5110002,13.00799996,9.676599875,474.5886284,562.0476535,1.396254922,1.184283862,0.693983092,0.725122845
2025-061,9.437600151,8.154099807,11.45610027,281.9649771,353.5938557,1.404949724,1.254034665,0.857614463,0.87589176
2025-062,10.03789976,8.138399944,9.189499915,241.8495498,324.7493476,1.233399665,1.342774249,0.944722733,0.952984542
2025-063,7.532100193,7.388599962,8.625299484,199.0669643,230.1207774,1.167379413,1.155996819,0.912267394,0.936771921
2025-064,4.965100065,4.993000068,8.289100602,117.1508021,93.90178853,1.66947302,0.80154627,0.852814876,0.865392367
2025-065,8.246799931,14.51060027,8.521100506,317.343312,435.284223,1.759543143,1.371650848,0.875259282,0.905048689
2025-066,4.043699987,3.489799984,4.598999768,43.24129744,19.50929537,1.317840504,0.451172757,0.810487767,0.805636802
2025-067,4.590299912,3.308199905,3.713199496,42.9694141,25.07496138,1.387552156,0.583553719,0.964165397,0.970685525
2025-068,4.60710004,4.286699928,5.416500568,70.28398388,46.40030307,1.263559535,0.660183167,0.888467676,0.897049344
2025-069,7.562799752,4.901400022,7.106800377,117.1378196,98.79631902,1.54298766,0.843419481,0.882295704,0.897131062
2025-070,9.510200098,10.1654999,12.71690018,298.9150858,377.7371098,1.337185343,1.263693697,0.845400939,0.864318908
2025-071,11.7261,9.620099887,11.03640012,323.5641936,425.2827251,1.218916657,1.314368937,0.845231156,0.852306754
2025-072,7.116799988,8.811699972,7.108200714,155.7903599,154.5481864,1.239652667,0.992026634,0.89396288,0.841710697
2025-073,6.288200058,6.760400161,8.689700812,128.5420382,92.59291556,1.381905908,0.720331783,0.770000101,0.782593698
2025-074,11.16980016,9.445699677,12.32209951,356.4823602,498.2763961,1.304519509,1.397758912,0.852628064,0.856411148
