label,group_id,bucket_id,pin_id,minor axis length (cm),middle axis length (cm),major axis length (cm),area (cm2),volume (cm3),aspect ratio,volume/surface ratio,sphericity,convexity
R1-1,1,1,1,4.90300003439188,4.845299944281578,6.909200549125671,92.6881523806474,79.7198675285296,1.4259593066637513,0.8600869202909532,0.9664312061616495,0.9909303591402764
R1-2,1,1,2,6.988000124692917,5.7693000882864,10.586899518966675,188.6806292700841,216.66424977994728,1.835040534719559,1.1483121008135204,0.9245881296295743,0.9805689208118755
R1-3,1,1,3,6.0078999027609825,6.057300046086311,7.861100137233734,139.38553951779872,142.94802757265143,1.3084605709927186,1.0255585196798538,0.9485316983833562,0.9664458200185566
R1-4,1,1,4,5.3463999181985855,5.1903000101447105,6.3789002597332,99.12184873819416,89.37295941616507,1.229004151448916,0.9016474223783056,0.9752564328344218,0.9925649074483403
R1-5,1,1,5,3.9681999012827873,3.9633000269532204,4.92510050535202,54.38212200125373,36.55028487094931,1.2426766764710928,0.6721011156958289,0.979388842508962,0.9863385010465939
R1-6,1,1,6,6.049100123345852,5.362099967896938,8.43920037150383,132.49711229020588,133.0672344516723,1.5738610660057792,1.004302902543398,0.9513167248000602,0.9876212678960502
R1-7,1,1,7,5.057599954307079,5.28159998357296,5.814599990844727,89.31618258913778,75.7461710888589,1.149675744103284,0.8480677173284251,0.9693064320411754,0.9800306181677174
R1-8,1,1,8,7.25179985165596,6.786699779331684,9.467300027608871,183.862137244057,217.8127261025556,1.3949784630875712,1.1846524214685532,0.9521688892750828,0.9874343110335567
R1-9,1,1,9,5.58719988912344,5.537400022149086,7.0128001272678375,112.4252737011222,106.9500169533485,1.2664427527751811,0.951298702084289,0.9691866189901374,0.9888026968989742
R1-10,1,1,10,5.062899924814701,4.344199970364571,5.975601077079773,82.83753722089835,68.20000137676433,1.375535453672565,0.8232982735218105,0.9744955674210523,0.9918999650798479
R2-1,1,2,1,5.9227000921964645,5.016699992120266,6.190499663352966,101.2053762483389,91.73951061308146,1.2339784466036217,0.9064687471540052,0.9719669253159632,0.9896454953048112
R2-2,1,2,2,6.45500011742115,5.692300014197826,9.067399799823761,158.87331303503044,171.89882062140248,1.5929237350820769,1.0819867562244392,0.9410552106400478,0.9750600117137651
R2-3,1,2,3,6.378199905157089,5.666400119662285,7.960499823093414,142.98705134490822,152.48506028687328,1.404860167828716,1.0664256577964832,0.9653221645554325,0.9883469494673095
R2-4,1,2,4,4.1109999641776085,4.4943999499082565,5.669700354337692,67.73840755836704,49.4705186180727,1.379153588845116,0.7303171184744232,0.9620850155960484,0.98771098121632
R2-5,1,2,5,7.06460028886795,7.250100001692772,9.922999143600464,213.36126141725464,274.1298282342256,1.4046087163964023,1.284815370950261,0.9564730775374761,0.9919355182528398
R2-6,1,2,6,6.735700182616711,7.062499970197678,10.010398924350739,199.68973204706117,244.85050926885896,1.4861705023904226,1.2261547289329562,0.9478269754536193,0.986807685447756
R2-7,1,2,7,6.084799952805042,5.085299909114838,7.095499336719513,119.17904290596574,117.33403196361644,1.3952961405484887,0.9845189984970341,0.972523775707729,0.9925774922662036
R2-8,1,2,8,5.300899967551231,5.685599893331528,8.271699398756027,123.16820110781354,120.1296061202936,1.5604330301251028,0.9753297120507577,0.9559141596166336,0.9934102418765258
R2-9,1,2,9,5.010800063610077,5.56889995932579,6.544499099254608,103.75762935634629,95.3981696298565,1.3060786733006393,0.9194328187879084,0.9730999392308458,0.9910939838598252
R2-10,1,2,10,5.079999938607216,5.199200101196766,6.507200002670288,96.98615922202434,86.81097649949473,1.2809448978958782,0.8950862390659661,0.9775915921574665,0.9919673010014436
R3-1,1,3,1,5.194099992513657,4.915099963545799,7.471300661563873,110.9554114473565,102.8969535561294,1.5200709480940051,0.9273721057305034,0.9570559204667808,0.9832040230408714
R3-2,1,3,2,5.046799965202808,5.37979993969202,6.384499371051788,96.41425802500866,86.21755411159788,1.2650589314163998,0.8942407054487119,0.9789037523872732,0.9920208756359513
R3-3,1,3,3,5.751500092446804,5.0464000552892685,6.842299550771713,105.38550500792394,97.04531724745604,1.3558773533224173,0.9208602002728857,0.9690651291979512,0.9903923589664573
R3-4,1,3,4,6.724299862980843,6.118000112473965,8.395100384950638,160.53816235790254,181.1988682425604,1.3721968340330533,1.1286965390733517,0.9645901533171658,0.9907768001942969
R3-5,1,3,5,5.095000006258488,5.3922999650239944,7.0980004966259,102.56482376013474,93.33695566578224,1.393130615879688,0.9100289187262347,0.9701854878237306,0.9895444380591336
R3-6,1,3,6,4.8163000494241714,5.299399979412556,6.615200638771057,101.67224452605122,90.53699544679834,1.3735025996899755,0.8904789686589468,0.9590305280163836,0.9802787761556354
R3-7,1,3,7,5.148399993777275,5.208400078117847,6.071700900793076,93.38003388616995,82.0873290424696,1.1793374462224706,0.8790672441020301,0.9781696428272444,0.9936217112659377
R3-8,1,3,8,7.674700021743774,7.507899776101112,11.28619983792305,247.66621554575127,339.87819482976886,1.503243273684725,1.372323609341797,0.9509687049337986,0.9892673408635024
R3-9,1,3,9,5.870800092816353,5.068599991500378,7.165700197219849,118.24288422974604,114.90601889894484,1.4137434812840102,0.9717795675186874,0.9666537985373082,0.9892198411397161
R3-10,1,3,10,4.840799979865551,5.129100009799004,6.655199825763702,93.2221105633655,78.10180513874923,1.3748140500423123,0.837803442410386,0.9478491851691876,0.9867729297209211
R4-1,1,4,1,6.474100053310394,6.785200163722038,9.109500795602798,171.11751850724437,194.38715573095465,1.4070682752183985,1.135986294253824,0.9483486442987739,0.9831980167040418
R4-2,1,4,2,6.483299843966961,6.191700138151646,9.321599453687668,173.70473472813464,195.41037787991752,1.5054991756222813,1.124957118674712,0.9374991541120705,0.9822590615018291
R4-3,1,4,3,6.832199916243553,6.239299848675728,8.184400200843811,158.5539291487094,178.65157061402633,1.3117497795174766,1.1267558714768093,0.967486710259008,0.9880528767588711
R4-4,1,4,4,4.440000094473362,4.3709998950362206,5.6571997702121735,72.42131903155101,55.34935725544898,1.2942575854638163,0.7642688367956337,0.969823601098508,0.9887979371738679
R4-5,1,4,5,5.448000133037567,5.0200000405311584,5.935800075531006,94.45955268929728,80.41388948998646,1.182430284383613,0.8513049998711008,0.9538035891156188,0.9864037767285381
R4-6,1,4,6,6.182300113141537,5.503799952566624,7.733499258756638,134.19382089993877,137.2851823357659,1.4051199762720705,1.0230365408414162,0.9590340989211507,0.9880335386179302
R4-7,1,4,7,5.812600068747997,5.395199917256832,7.428599148988724,120.35471331392174,117.7522515755966,1.3768904327767275,0.9783767360108522,0.9653108075216009,0.9917854417552735
R4-8,1,4,8,6.115800142288208,6.74699991941452,7.733900099992752,146.73256400196323,159.16431066338183,1.2645769842143888,1.0847238426314985,0.9679540615592664,0.9905077179956714
R4-9,1,4,9,5.064900033175945,5.894999951124191,7.723800092935562,120.84364705570914,117.63113350944958,1.5249659504320667,0.9734159500765598,0.9607457869412668,0.9900722408078665
R4-10,1,4,10,4.729299992322922,5.319300107657909,6.26169890165329,93.10868011458568,81.34618354441457,1.3240223525295314,0.8736691728881195,0.9751065546653518,0.9913030773950797
R5-1,1,5,1,4.644699953496456,5.425200052559376,7.411700487136841,107.73986397667636,98.6423481519885,1.5957328915417734,0.9155603553884447,0.9582598738421405,0.9920058467597279
