label,year,group_id,bucket_id,pin_id,minor axis length (cm),middle axis length (cm),major axis length (cm),area (cm2),volume (cm3),aspect ratio,volume/surface ratio,sphericity,convexity
R1-1,2023,1,1,1,4.90300003439188,4.845299944281578,6.909200549125671,92.6881523806474,79.7198675285296,1.4259593066637513,0.8600869202909532,0.9664312061616496,0.9909303591402764
R1-2,2023,1,1,2,6.988000124692917,5.7693000882864,10.586899518966677,188.6806292700841,216.66424977994728,1.835040534719559,1.1483121008135204,0.9245881296295744,0.9805689208118756
R1-3,2023,1,1,3,6.007899902760983,6.057300046086311,7.861100137233734,139.38553951779872,142.94802757265143,1.3084605709927186,1.0255585196798538,0.9485316983833562,0.9664458200185566
R1-4,2023,1,1,4,5.3463999181985855,5.190300010144711,6.3789002597332,99.12184873819416,89.37295941616507,1.229004151448916,0.9016474223783056,0.9752564328344218,0.9925649074483404
R1-5,2023,1,1,5,3.9681999012827873,3.963300026953221,4.92510050535202,54.38212200125373,36.55028487094931,1.2426766764710928,0.6721011156958289,0.979388842508962,0.986338501046594
R1-6,2023,1,1,6,6.049100123345852,5.362099967896938,8.43920037150383,132.49711229020588,133.0672344516723,1.5738610660057792,1.004302902543398,0.9513167248000602,0.9876212678960502
R1-7,2023,1,1,7,5.057599954307079,5.28159998357296,5.814599990844727,89.31618258913778,75.7461710888589,1.149675744103284,0.8480677173284251,0.9693064320411754,0.9800306181677174
R1-8,2023,1,1,8,7.25179985165596,6.786699779331684,9.467300027608871,183.862137244057,217.8127261025556,1.3949784630875712,1.1846524214685532,0.9521688892750828,0.9874343110335568
R1-9,2023,1,1,9,5.58719988912344,5.537400022149086,7.0128001272678375,112.4252737011222,106.9500169533485,1.2664427527751811,0.951298702084289,0.9691866189901374,0.9888026968989742
R1-10,2023,1,1,10,5.062899924814701,4.344199970364571,5.975601077079773,82.83753722089835,68.20000137676433,1.375535453672565,0.8232982735218105,0.9744955674210524,0.991899965079848
R2-1,2023,1,2,1,5.9227000921964645,5.016699992120266,6.190499663352966,101.2053762483389,91.73951061308146,1.2339784466036217,0.9064687471540052,0.9719669253159632,0.9896454953048112
R2-2,2023,1,2,2,6.45500011742115,5.692300014197826,9.06739979982376,158.87331303503044,171.89882062140248,1.5929237350820769,1.0819867562244392,0.9410552106400478,0.9750600117137652
R2-3,2023,1,2,3,6.378199905157089,5.666400119662285,7.960499823093414,142.98705134490822,152.48506028687328,1.404860167828716,1.0664256577964832,0.9653221645554324,0.9883469494673096
R2-4,2023,1,2,4,4.1109999641776085,4.4943999499082565,5.669700354337692,67.73840755836704,49.4705186180727,1.379153588845116,0.7303171184744232,0.9620850155960484,0.98771098121632
R2-5,2023,1,2,5,7.06460028886795,7.250100001692772,9.922999143600464,213.36126141725464,274.1298282342256,1.4046087163964025,1.284815370950261,0.956473077537476,0.9919355182528398
R2-6,2023,1,2,6,6.735700182616711,7.062499970197678,10.01039892435074,199.6897320470612,244.85050926885896,1.4861705023904226,1.2261547289329562,0.9478269754536192,0.986807685447756
R2-7,2023,1,2,7,6.084799952805042,5.085299909114838,7.095499336719513,119.17904290596574,117.33403196361644,1.3952961405484887,0.984518998497034,0.972523775707729,0.9925774922662036
R2-8,2023,1,2,8,5.300899967551231,5.685599893331528,8.271699398756027,123.16820110781354,120.1296061202936,1.5604330301251028,0.9753297120507576,0.9559141596166336,0.9934102418765258
