label,year,group_id,bucket_id,pin_id,minor axis length (cm),middle axis length (cm),major axis length (cm),area (cm2),volume (cm3),aspect ratio,volume/surface ratio,sphericity,convexity
4R4-2,2023,4,4,2,7.141000032424927,7.065899670124054,9.66150015592575,189.6897643213007,229.5150005514497,1.3673418258083088,1.2099493157822272,0.9556839176269004,0.9829407390847212
4R4-3,2023,4,4,3,6.611200049519539,6.765599921345711,10.12910045683384,189.23953906186327,221.0303563344708,1.5321122309057884,1.1679924683298608,0.9342007081537902,0.972511702975461
4R4-4,2023,4,4,4,7.224499806761742,5.933400057256222,9.84099954366684,187.05166788820787,216.2804177727245,1.658576777008629,1.156260300774144,0.9315382080363004,0.976773311367076
4R4-5,2023,4,4,5,6.3996002078056335,5.933099985122681,6.761600822210312,126.51170784501844,128.13384402706194,1.1396404643719316,1.0128220242195345,0.971544377471436,0.9868513163353456
4R4-6,2023,4,4,6,5.507799983024597,5.668499879539013,7.606600597500801,119.29489232371724,116.08969428013545,1.3810597009595202,0.973132143538181,0.9646980188473936,0.9912299478564194
4R4-7,2023,4,4,7,7.068600133061409,6.224300153553486,11.22560054063797,207.55500607095803,249.77408139899555,1.8035120838813044,1.2034115010148387,0.9240933083846888,0.976042792694886
4R4-8,2023,4,4,8,4.658599942922592,5.619899928569794,6.810500472784042,99.72677999713942,88.77695685237643,1.461920009493549,0.8902017778466619,0.9650263319942548,0.9838176323921662
4R4-9,2023,4,4,9,5.527199991047382,4.996399953961372,6.698400527238846,102.21763796554622,92.81652323183302,1.3406453824674405,0.9080284487019552,0.9698587335524044,0.9912706554791378
4R4-10,2023,4,4,10,5.094300024211407,4.733400046825409,5.69630041718483,83.25942075862837,69.37019729178748,1.2034267885312626,0.8331813584542441,0.9806168672220864,0.992301860553595
4R5-1,2023,4,5,1,6.852699816226959,6.748899817466736,8.820999786257744,171.40968173471924,198.98817766931413,1.3070278156194042,1.1608922883205426,0.9616129259553748,0.9855033842057472
4R5-2,2023,4,5,2,6.9047000259161,6.29619974642992,8.417800441384315,160.69555417176028,176.61361662047304,1.336965277532275,1.0990572672078949,0.94731930007748,0.9760589810054938
4R5-3,2023,4,5,3,5.599600076675415,5.168600007891655,7.05920085310936,103.67281792605144,94.54063337783904,1.3657858689647195,0.9119134144233808,0.9680509740550012,0.9876442299180886
4R5-4,2023,4,5,4,6.2738001346588135,6.688900291919708,9.4076007604599,174.7274171290406,188.8935393563125,1.499505970629954,1.081075554483873,0.9111736182227432,0.9562983378887532
4R5-5,2023,4,5,5,6.690000183880329,6.134999915957451,8.119799196720123,151.6617475570421,166.4501389446172,1.3235206695928563,1.0975090398586695,0.9648597206138976,0.9821530967123598
4R5-6,2023,4,5,6,4.750699922442436,4.735300131142139,6.391400098800659,88.51784903473066,72.5114376875772,1.3497349527576985,0.8191730648485005,0.9500014825266324,0.9899957609043564
4R5-7,2023,4,5,7,5.858399905264378,5.98910003900528,7.053299993276596,122.00096245668396,118.44261235471532,1.2039635578545052,0.9708334259802908,0.9560035817290506,0.9781022983127458
4R5-8,2023,4,5,8,5.709800124168396,6.530300155282021,7.035199925303459,133.73635732266197,137.15463086907153,1.2321271799909286,1.0255597925264437,0.9617044340789588,0.9781869182982676
4R5-9,2023,4,5,9,4.434499889612198,4.53450009226799,5.643700063228607,72.80452241600273,56.02145049899131,1.2726801677115738,0.7694776181469404,0.9725128162379224,0.989832250218872
4R5-10,2023,4,5,10,7.086700201034546,6.517199985682964,9.711499884724615,192.46020298169532,235.4595171773604,1.4901337853769894,1.2234192499514025,0.958121717717454,0.9904066138976516
4R6-1,2023,4,6,1,6.617000326514244,6.5225999802351,8.27230028808117,166.54830424232242,189.9273602667174,1.2682519720890508,1.1403740262067106,0.9594056331823104,0.9839463740722872
4R6-2,2023,4,6,2,5.505299940705299,6.445799954235554,8.32279920578003,139.19804894190833,145.915178846968,1.5117794298985592,1.0482559199365138,0.962907621683122,0.9908649207371024
4R6-3,2023,4,6,3,4.040700010955334,4.130499996244907,4.964399337768555,59.60009981823748,41.80916809148516,1.2285988379015629,0.7014949340519672,0.9774281025280884,0.989808448926192
4R6-4,2023,4,6,4,4.571299999952316,5.1426000893116,5.5754996836185455,84.56621570479797,70.88345026333013,1.2196748591596929,0.8382005706719649,0.9794534351782036,0.991276658631091
4R6-5,2023,4,6,5,6.47639986127615,6.11720010638237,8.827600255608559,162.97716401370874,183.4838745629497,1.4430785493510827,1.1258256681133318,0.958126024174758,0.9842647389216814
4R6-6,2023,4,6,6,6.521299853920937,6.216099858283997,9.233999997377396,169.5835489590162,191.9646568881725,1.4854973710037076,1.131976881404724,0.9489600350989248,0.986164459130894
4R6-7,2023,4,6,7,8.523700013756752,7.561299949884415,12.508200481534004,299.4541564340155,438.8289826388164,1.6542394250244246,1.4654295931788546,0.9325754554051447,0.980270942861728
4R6-8,2023,4,6,8,6.942500174045563,6.325200013816357,8.645699918270111,169.65159597782764,195.2959116671336,1.3668658539469116,1.1511587058258943,0.959522013437374,0.98219410679928
4R6-9,2023,4,6,9,5.577200092375279,5.224799923598766,6.586500257253647,105.15147310673956,95.82904680919262,1.2606224838399096,0.9113428844873744,0.9630900043321692,0.9805696092508208
4R6-10,2023,4,6,10,5.010399967432022,6.033900007605553,7.1824997663497925,109.35251536076112,101.95418740149044,1.4335182446584271,0.9323442361169004,0.9651438750691892,0.987363331979298
4R8-1,2023,4,8,1,6.316700018942356,6.700999848544598,10.168899223208427,185.66542451308555,219.67514818877808,1.609843619724571,1.1831774751000854,0.948288262174504,0.9901694265528131
4R8-2,2023,4,8,2,6.293999776244164,5.67299984395504,7.933100312948227,136.61591791631258,140.6747384144971,1.3983960040826504,1.029709718750862,0.9574737969248752,0.982875085422108
4R8-3,2023,4,8,3,6.823999807238579,5.317100137472153,7.461400330066681,134.43052249319382,139.39798211674363,1.4032837706934682,1.0369518732161538,0.9671427100066892,0.9895415281368536
4R8-4,2023,4,8,4,4.821199923753738,5.051099881529808,7.064899429678917,96.00928688359691,82.4535528592508,1.4653819674373214,0.8588080959211656,0.954209632644764,0.9885915804588076
4R8-5,2023,4,8,5,5.827599950134754,5.3429000079631805,7.234799489378929,120.74771585718378,117.9628969391694,1.3540959925501166,0.9769368811803598,0.9633161027840904,0.9863490105556494
